Date,rv
2012/8/3,0.040338041
2012/8/4,0.011510816
2012/8/5,0.008316989
2012/8/6,0.003789077
2012/8/7,0.000800037
2012/8/8,0.002038598
2012/8/9,0.023699306
2012/8/10,0.005430215
2012/8/11,0.0005665
2012/8/12,0.00086476
2012/8/13,0.013041364
2012/8/14,0.001023192
2012/8/15,0.003502882
2012/8/16,0.008610393
2012/8/17,0.054133764
2012/8/18,0.111242881
2012/8/19,0.021067436
2012/8/20,0.000443429
2012/8/21,0.015444487
2012/8/22,0.011358844
2012/8/23,0.008366759
2012/8/24,0.000852243
2012/8/25,0.005520532
2012/8/26,0.004471085
2012/8/27,0.028254367
2012/8/28,0.009720897
2012/8/29,0.018114339
2012/8/30,0.005054242
2012/8/31,0.007773065
2012/9/1,0.000647402
2012/9/2,0.000351853
2012/9/3,0.004564069
2012/9/4,0.002928545
2012/9/5,0.003983825
2012/9/6,0.004528921
2012/9/7,0.003136749
2012/9/8,0.008208985
2012/9/9,0.003419757
2012/9/10,0.003160516
2012/9/11,0.005566402
2012/9/12,0.017875888
2012/9/13,0.003190403
2012/9/14,0.004263491
2012/9/15,0.003667883
2012/9/16,0.001641348
2012/9/17,0.002821558
2012/9/18,0.002811969
2012/9/19,0.006574204
2012/9/20,0.003038988
2012/9/21,0.003883509
2012/9/22,0.002238751
2012/9/23,0.002283927
2012/9/24,0.002353074
2012/9/25,0.003817478
2012/9/26,0.008657023
2012/9/27,0.003410665
2012/9/28,0.004359314
2012/9/29,0.000957071
2012/9/30,0.000350528
2012/10/1,0.003435626
2012/10/2,0.00176429
2012/10/3,0.005976933
2012/10/4,0.004598839
2012/10/5,0.014747784
2012/10/6,0.001763442
2012/10/7,0.006953144
2012/10/8,0.015863644
2012/10/9,0.007640286
2012/10/10,0.002087208
2012/10/11,0.008562357
2012/10/12,0.002047022
2012/10/13,0.000485043
2012/10/14,0.000911879
2012/10/15,0.019070609
2012/10/16,0.012624829
2012/10/17,0.005522212
2012/10/18,0.001735149
2012/10/19,0.001925633
2012/10/20,0.000498959
2012/10/21,0.00053787
2012/10/22,0.00532317
2012/10/23,0.006611821
2012/10/24,0.010569025
2012/10/25,0.007928353
2012/10/26,0.006940737
2012/10/27,0.004013059
2012/10/28,0.006776768
2012/10/29,0.005014033
2012/10/30,0.00401923
2012/10/31,0.0019164
2012/11/1,0.002085255
2012/11/2,0.010548173
2012/11/3,0.005885585
2012/11/4,0.002220182
2012/11/5,0.00135932
2012/11/6,0.005494122
2012/11/7,0.008447599
2012/11/8,0.008459663
2012/11/9,0.001788667
2012/11/10,0.000995474
2012/11/11,0.001776113
2012/11/12,0.001102552
2012/11/13,0.001293148
2012/11/14,0.00079736
2012/11/15,0.001400156
2012/11/16,0.007665287
2012/11/17,0.001617115
2012/11/18,0.0020236
2012/11/19,0.010599761
2012/11/20,0.003336645
2012/11/21,0.001765672
2012/11/22,0.008888154
2012/11/23,0.011753907
2012/11/24,0.000793074
2012/11/25,0.001235674
2012/11/26,0.000834589
2012/11/27,0.004061611
2012/11/28,0.00201526
2012/11/29,0.000858149
2012/11/30,0.003060665
2012/12/1,0.000399855
2012/12/2,0.001166319
2012/12/3,0.000925477
2012/12/4,0.001845748
2012/12/5,0.006161725
2012/12/6,0.005799995
2012/12/7,0.005105677
2012/12/8,6.24E-05
2012/12/9,0.000891506
2012/12/10,0.002868042
2012/12/11,0.002747407
2012/12/12,0.000647085
2012/12/13,0.003148539
2012/12/14,0.002980183
2012/12/15,0.000994142
2012/12/16,0.000412584
2012/12/17,0.002581897
2012/12/18,0.003861954
2012/12/19,0.004784446
2012/12/20,0.004382778
